collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Monday 1,2039049,30-07-2018,30-07-2018,06-08-2018,23 St Swindons Avenue LAKE GARDENS  VIC  3355
Monday 1,2039050,30-07-2018,30-07-2018,06-08-2018,24 St Swindons Avenue LAKE GARDENS  VIC  3355
Monday 1,2039051,30-07-2018,30-07-2018,06-08-2018,26 St Swindons Avenue LAKE GARDENS  VIC  3355
Monday 1,2039052,30-07-2018,30-07-2018,06-08-2018,6 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039053,30-07-2018,30-07-2018,06-08-2018,8 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039054,30-07-2018,30-07-2018,06-08-2018,9 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039055,30-07-2018,30-07-2018,06-08-2018,16 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039057,30-07-2018,30-07-2018,06-08-2018,20 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039058,30-07-2018,30-07-2018,06-08-2018,22 Stirling Drive LAKE GARDENS  VIC  3355
Tuesday 1,2039059,31-07-2018,31-07-2018,07-08-2018,1891 Sturt Street ALFREDTON  VIC  3350
Wednesday 1,2039063,01-08-2018,01-08-2018,08-08-2018,320 Palmerston Street BUNINYONG  VIC  3357
Monday 1,2039073,30-07-2018,30-07-2018,06-08-2018,10 Garden Court LAKE GARDENS  VIC  3355
Monday 2,2039074,30-07-2018,06-08-2018,30-07-2018,15 Dundas Place MINERS REST  VIC  3352
Wednesday 1,2039090,01-08-2018,01-08-2018,,19 South Durham Bridge Road DURHAM LEAD  VIC  3352
Monday 2,2039091,30-07-2018,06-08-2018,,1-5 Morang Crescent MITCHELL PARK  VIC  3355
Monday 1,2039094,30-07-2018,30-07-2018,06-08-2018,14 St Robbins Avenue LAKE GARDENS  VIC  3355
Friday 1,2039104,27-07-2018,03-08-2018,27-07-2018,1 Great Valley Parade SEBASTOPOL  VIC  3356
Tuesday 1,2039114,31-07-2018,31-07-2018,07-08-2018,8 Argyle Crescent ALFREDTON  VIC  3350
Wednesday 2,2039115,01-08-2018,08-08-2018,01-08-2018,5 Atrium Drive BALLARAT NORTH  VIC  3350
Wednesday 2,2039118,01-08-2018,08-08-2018,01-08-2018,10 Atrium Drive BALLARAT NORTH  VIC  3350
Wednesday 2,2039119,01-08-2018,08-08-2018,01-08-2018,8 Atrium Drive BALLARAT NORTH  VIC  3350
Wednesday 2,2039120,01-08-2018,08-08-2018,01-08-2018,2 Benson Street BROWN HILL  VIC  3350
Tuesday 1,2039121,31-07-2018,31-07-2018,07-08-2018,7 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039122,31-07-2018,31-07-2018,07-08-2018,13 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039123,31-07-2018,31-07-2018,07-08-2018,15 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039126,31-07-2018,31-07-2018,07-08-2018,16 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039127,31-07-2018,31-07-2018,07-08-2018,10 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039128,31-07-2018,31-07-2018,07-08-2018,8 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039130,31-07-2018,31-07-2018,07-08-2018,4 Cheviot Court ALFREDTON  VIC  3350
Thursday 2,2039133,26-07-2018,26-07-2018,,3/511 Chisholm Street BLACK HILL  VIC  3350
Tuesday 2,2039134,31-07-2018,07-08-2018,,2/410 Clarendon Street SOLDIERS HILL  VIC  3350
Tuesday 1,2039135,31-07-2018,31-07-2018,07-08-2018,12 Darlington Street ALFREDTON  VIC  3350
Tuesday 1,2039136,31-07-2018,31-07-2018,07-08-2018,10 Darlington Street ALFREDTON  VIC  3350
Tuesday 1,2039137,31-07-2018,31-07-2018,07-08-2018,6 Darlington Street ALFREDTON  VIC  3350
Tuesday 1,2039138,31-07-2018,31-07-2018,07-08-2018,8 Dorset Drive ALFREDTON  VIC  3350
Tuesday 1,2039139,31-07-2018,31-07-2018,07-08-2018,4 Dorset Drive ALFREDTON  VIC  3350
Thursday 2,2039140,26-07-2018,26-07-2018,,917 Eureka Street BALLARAT EAST  VIC  3350
Thursday 1,2039141,26-07-2018,02-08-2018,,27 Eureka Gardens EUREKA  VIC  3350
Thursday 1,2039142,26-07-2018,02-08-2018,,11 Eureka Gardens EUREKA  VIC  3350
Thursday 1,2039143,26-07-2018,02-08-2018,,26 Eureka Gardens EUREKA  VIC  3350
Thursday 1,2039144,26-07-2018,02-08-2018,26-07-2018,20 Eureka Gardens EUREKA  VIC  3350
Thursday 1,2039145,26-07-2018,02-08-2018,26-07-2018,14 Eureka Gardens EUREKA  VIC  3350
Thursday 1,2039146,26-07-2018,02-08-2018,,10 Eureka Gardens EUREKA  VIC  3350
Wednesday 1,2039148,01-08-2018,01-08-2018,08-08-2018,9 Oakbank Drive MOUNT HELEN  VIC  3350
Monday 1,2039149,30-07-2018,30-07-2018,06-08-2018,1 Faversham Avenue LAKE GARDENS  VIC  3355
Wednesday 1,2039150,01-08-2018,01-08-2018,08-08-2018,7 Oakbank Drive MOUNT HELEN  VIC  3350
Wednesday 1,2039152,01-08-2018,01-08-2018,08-08-2018,11 Rosewood Court MOUNT HELEN  VIC  3350
Monday 1,2039153,30-07-2018,30-07-2018,06-08-2018,21 Faversham Avenue LAKE GARDENS  VIC  3355
Monday 1,2039154,30-07-2018,30-07-2018,06-08-2018,6 Faversham Avenue LAKE GARDENS  VIC  3355
